sub1,sub2,smi1,smi2,x1,x2,env1,excess_molar_volume/(cm3/mol),link
ACN,GBL,CC#N,O=C1CCCO1,0.0,1.0,293.15,0.0,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.1054,0.8946,293.15,-0.274174512,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.1934,0.8066,293.15,-0.361331868,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.3007,0.6993,293.15,-0.429087182,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.4029,0.5971,293.15,-0.496832323,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.5036,0.4964,293.15,-0.503330717,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.6012,0.3988,293.15,-0.495461225,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.702,0.298,293.15,-0.318061657,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.8008,0.1992,293.15,-0.246484727,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.8993,0.1007,293.15,-0.111764667,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,1.0,0.0,293.15,0.0,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.0,1.0,298.15,0.0,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.1054,0.8946,298.15,-0.280051331,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.1934,0.8066,298.15,-0.37161699,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.3007,0.6993,298.15,-0.442950423,https://www.sciencedirect.com/science/article/pii/S0167732215301781
ACN,GBL,CC#N,O=C1CCCO1,0.4029,0.5971,298.15,-0.513674379,https://www.sciencedirect.com/science/article/pii/S0167732215301781
