sub1_name,x1 (mole fraction),sub2_name,x2 (mole fraction),sub3_name,x3 (mole fraction),salt,x4 (mole fraction),x5 (mole fraction),temperature (K),ionic conductivity (mS/cm)
Propylene Carbonate,0,Fluoroethylene Carbonate,0.904761905,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,243.15,0.0416
Propylene Carbonate,0,Fluoroethylene Carbonate,0.824817518,Ethylene Carbonate,0,LiPF6,0.087591241,0.087591241,243.15,0.0487
Propylene Carbonate,0,Fluoroethylene Carbonate,0.759014952,Ethylene Carbonate,0,LiPF6,0.120492524,0.120492524,243.15,0.0301
Propylene Carbonate,0,Fluoroethylene Carbonate,0.70212766,Ethylene Carbonate,0,LiPF6,0.14893617,0.14893617,243.15,0.0112
Propylene Carbonate,0,Fluoroethylene Carbonate,0.904761905,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,253.15,0.158
Propylene Carbonate,0,Fluoroethylene Carbonate,0.824817518,Ethylene Carbonate,0,LiPF6,0.087591241,0.087591241,253.15,0.211
Propylene Carbonate,0,Fluoroethylene Carbonate,0.759014952,Ethylene Carbonate,0,LiPF6,0.120492524,0.120492524,253.15,0.16
Propylene Carbonate,0,Fluoroethylene Carbonate,0.70212766,Ethylene Carbonate,0,LiPF6,0.14893617,0.14893617,253.15,0.0903
Propylene Carbonate,0,Fluoroethylene Carbonate,0.904761905,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,263.15,0.452
Propylene Carbonate,0,Fluoroethylene Carbonate,0.824817518,Ethylene Carbonate,0,LiPF6,0.087591241,0.087591241,263.15,0.613
Propylene Carbonate,0,Fluoroethylene Carbonate,0.759014952,Ethylene Carbonate,0,LiPF6,0.120492524,0.120492524,263.15,0.508
Propylene Carbonate,0,Fluoroethylene Carbonate,0.70212766,Ethylene Carbonate,0,LiPF6,0.14893617,0.14893617,263.15,0.348
Propylene Carbonate,0,Fluoroethylene Carbonate,0.904761905,Ethylene Carbonate,0,LiPF6,0.047619048,0.047619048,273.15,1.09
